measure_id,measure_name,objective,type_of_policy_or_measure,instrument_type,source,quantitative_target,planned_budget_and_sources,entities_responsible,expected_impact,state_of_execution,date_of_entry_into_force,implementation_period
LT_075,Non-residential buildings (>=20 spaces): EV recharging/ducting,Install >=1 recharging point for every 10 parking spaces or ducting infrastructure in all non-residential buildings with >20 parking spaces.,Measures to promote advanced technologies and infrastructures for sustainable mobility in buildings,Regulatory,"Directive, Art. 14(2)",10% of parking spaces equipped with recharging points or all spaces ready with ducting infrastructure,—,"AM, Construction Inspectorate, Municipalities, Construction Operators",—,Not implemented,January 2027,—
LT_076,Public bodies' buildings: pre-cabling (>=50%),At least 50% of public bodies' buildings (or buildings occupied by them) have >=50% pre-cabling of parking spaces.,Measures to promote advanced technologies and infrastructures for sustainable mobility in buildings,Regulatory,"Directive, Art. 14(2)",50% of parking spaces pre-cabled,—,"AM, Construction Inspectorate, Municipalities, Construction Operators",—,Not implemented,January 2033,—
LT_077,Fire safety rules in car parks,"Rules on fire safety in car parks: Fire Safety Rules for Car Storage Facilities, approved by Order No 1-44 of the Director of the Fire and Rescue Department.",Measures to promote advanced technologies and infrastructures for sustainable mobility in buildings,Regulatory,"Ministry of the Interior (MoI), 6 February 2012",Ensure implementation of fire safety requirements in all newly constructed or refurbished parking areas,Funds for project developers,"MoI, MoI Fire & Rescue Department, Construction Inspectorate",—,Applicable,2012,—
LT_078,"MT10-E Ensure demand for energy sector professionals (heat, electricity, RES, etc.) and the promotion of the energy profession in Lithuania",Develop and communicate lists of new professions in the energy sector; create a rolling programme to promote energy studies; increase the attractiveness and modernity of energy-oriented study programmes.,Measures to increase public awareness and training of professionals,Education,NECPs,—,—,"SMSM, PA, vocational schools",—,Ongoing,2024,2030
LT_079,H5 Mainstreaming climate change in all education systems,Ensure that education related to climate change is included in all levels of education and higher education programmes in order to bring about a change in societal behaviour.,Measures to increase public awareness and training of professionals,Education,NECPs,—,—,"LFSM, AM",—,Ongoing,2023,2030
LT_080,EE4-E Agreements with energy suppliers on consumer education and advice,Measure to implement and promote agreements with energy suppliers and consumers on changing behaviour and choosing solutions that improve energy efficiency,Awareness-raising and campaigning measures,Regulatory,NECPs,"Renovate 5,042 multi-apartment buildings","Total funding: EUR 3,004.11 million; Public funding: EUR 1,152.89 million (Public funds)","ENMIN, Energy suppliers","Save up to 248.96 kt of GHG and about 2,773.21 GWh of total fuel & energy",Ongoing,In 2021,2030
LT_081,RES20-P Encouraging electricity consumers to choose energy from RES,Engage energy consumers more in a greener consumption model and shape their behaviour to reduce energy consumption,Awareness-raising and campaigning measures,Education,NECPs,"Reach 119,395 people with an education campaign","Total funding: EUR 3,237.4 million; Public funding: EUR 1,047.4 million (Public funds)",ENMIN,—,Ongoing,2024,2026
LT_082,EN4-P Information for hard-to-reach (not Internet-enabled) consumers on compensation and energy savings,Provide information to hard-to-reach consumers on compensation and energy savings,Awareness-raising and campaigning measures,Education,NECPs,—,Total funds: EUR 122 million; Public funds: EUR 2 million (Public funds),"ENMIN, SADM, Municipalities",—,Ongoing,2023,2030
LT_083,EN5-P Create an information hub,"The information hub will provide information on compensation, connection to renewable energy communities, energy efficiency, building renovation and energy savings",Awareness-raising and campaigning measures,Education,NECPs,—,Total funds: EUR 122 million; Public funds: EUR 2 million (Public funds),ENMIN,—,Ongoing,2023,2030
LT_084,Public information on household (housing) heating,Information campaigns providing important material and expert advice to citizens to familiarise themselves with: the health effects of solid fuel and waste incineration; environmental impacts; obligations and possibilities for the proper operation and maintenance of boilers/chimneys; opportunities to install cost-effective and energy-efficient domestic heating systems; potential for improving building energy efficiency; energy efficiency measures and solutions,Awareness-raising and campaigning measures,Education,National Air Pollution Reduction Plan,—,—,"SAM, NVSC, DGEF, Institute of Hygiene, ENMIN, Municipalities","More conscious consumer behaviour, switching to less polluting fuels, and improving the efficiency of installations",Ongoing,2020,2029
LT_085,Renovation map of Lithuania,"Extend the integrated building renovation map to monitor, analyse and forecast the renovation processes of all buildings at national level. Objective: efficient data collection, analysis and planning of measures (data aggregation, system integration, GIS, reporting module).",Awareness-raising and campaigning measures,Administrative; Information; Digital,Renovation map of Lithuania,Create an active map reflecting 100% of relevant buildings and their refurbishment procedures (status),State budget (State budget),"AM, EM, RC, SSVA",—,Only applicable to multi-apartment buildings,2026,2030
LT_086,L19-E Promotion of organic construction,"The first part covers the implementation of pilot building refurbishment projects using standardised modular structures made of organic materials, and the development of recommendations for wider application of the solutions. Activities occur 2023-2025 and lead to an average 30% primary energy reduction. The second part supports deployment of production capacities of standardised modular structures or organic materials needed to achieve the Long-term Renovation Strategy objectives.",Measures to promote modular and industrialised solutions for construction and building renovation,Economic,NECPs,—,Total funding: EUR 598.19 million; Public funding: EUR 561.83 million (Public funds),AM,—,Ongoing,2023,2023-2025
LT_087,L12-P Promotion of organic construction,Promote the refurbishment of 860 multi-apartment buildings using standardised modular structures made of organic materials.,Measures to promote modular and industrialised solutions for construction and building renovation,Economic,NECPs,Refurbishment of 860 multi-apartment buildings,Total funding: EUR 122 million and public funding of EUR 2 million (Public funds),"ENMIN, SADM, AM, Municipalities",—,Planned,2026,2030
LT_088,EE2-P Renovation (modernisation) of multi-apartment buildings using modular structures,"Out of all 860 multi-apartment buildings planned for renovation, modular building products (liquids) produced in factories from renewable natural resources of organic origin will be used.",Measures to promote modular and industrialised solutions for construction and building renovation,Infrastructural,NECPs,Refurbish 860 multi-apartment buildings using panels,Not separately foreseen (co-financing under 3.3 for measure EE2-P) (Public + Private funds),AM,—,Ongoing,2024,2030
LT_089,Regulatory base for modular and industrialised construction,"Supplement the existing Construction Act and STR documents on modular & industrialised construction (covering building design, manufacturing, transport, assembly, permit processes) in line with the Directive, Annex I and EC Report Guidance.",Measures to promote modular and industrialised solutions for construction and building renovation,Regulatory,"Directive, Annex I; EC Report Guidance",20% increase in the use of modular technologies (in construction & refurbishment) and decrease in energy consumption,State budget,"AM, Construction Inspectorate",20 modular and industrial projects per year,Impracticable,2026,2030
